vendor_grouped_Apache,vendor_grouped_Apple,vendor_grouped_Cisco,vendor_grouped_D-Link,vendor_grouped_Fortinet,vendor_grouped_Google,vendor_grouped_Ivanti,vendor_grouped_Microsoft,vendor_grouped_Oracle,vendor_grouped_Other,cwe_grouped_CWE-20,cwe_grouped_CWE-22,cwe_grouped_CWE-287,cwe_grouped_CWE-416,cwe_grouped_CWE-502,cwe_grouped_CWE-78,cwe_grouped_CWE-787,cwe_grouped_CWE-94,cwe_grouped_Other,cwe_grouped_Unknown,remediation_days
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,-0.3953442244396554
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.633271833086391
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2.323828445808752
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,-0.3953442244396554
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.7012511498426013
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-0.5143080287630233
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.3953442244396554
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.5143080287630233
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.3953442244396554
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-0.5143080287630233
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,-0.7012511498426013
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.3953442244396554
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2.323828445808752
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-0.3953442244396554
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.323828445808752
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-0.5143080287630233
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.3953442244396554
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,-0.3953442244396554
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-0.5143080287630233
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2.323828445808752
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,-0.3953442244396554
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2.323828445808752
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.6842563206535487
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.5143080287630233
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,-0.3953442244396554
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3953442244396554
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2.323828445808752
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.5143080287630233
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2.323828445808752
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.3953442244396554
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2.323828445808752
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.5143080287630233
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,-0.3953442244396554
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2.323828445808752
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,-0.3953442244396554
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.3953442244396554
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-0.02145798228049937
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.5143080287630233
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2.323828445808752
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-0.5143080287630233
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-0.5143080287630233
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.5143080287630233
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.3953442244396554
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,-0.3953442244396554
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-0.633271833086391
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.5143080287630233
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.7012511498426013
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-0.3953442244396554
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.3408232749978044
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,-0.3953442244396554
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-0.3953442244396554
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.323828445808752
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,-0.3953442244396554
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-0.3953442244396554
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-0.3953442244396554
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.323828445808752
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,-0.3953442244396554
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.5143080287630233
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,-0.3953442244396554
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.5143080287630233
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-0.5143080287630233
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.5143080287630233
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.5143080287630233
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.3953442244396554
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2.323828445808752
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2.323828445808752
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.5143080287630233
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-0.3953442244396554
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.3953442244396554
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.3953442244396554
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.5143080287630233
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,-0.5143080287630233
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,-0.3953442244396554
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.3953442244396554
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.7012511498426013
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.5143080287630233
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.5143080287630233
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2.323828445808752
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-0.22539593254912993
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,-0.3953442244396554
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,-0.3953442244396554
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-0.3953442244396554
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.3953442244396554
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.323828445808752
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.3953442244396554
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3953442244396554
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,-0.3953442244396554
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2.323828445808752
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.3953442244396554
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.5143080287630233
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2.323828445808752
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.3953442244396554
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-0.3953442244396554
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.3953442244396554
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.5143080287630233
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2.323828445808752
